"Wasatch Trails Collective would not be what it is without our community made up of diverse backgrounds and experiences. As a running (and many other sports/recreational interests) group, we know how much of a privilege it is to be able to move & recreate freely and without fear. Our community remains dedicated to supporting one another until all the walls from Palestine to Mexico are torn down. Support local & support those who are in solidarty with our community!! ❤️‍🔥",,,,,,,
"Supporting businesses (whether closed for part of or the whole day; offering up space and resources; donating a portion or all of proceeds; showing solidarity, etc.) compiled from Utah Small Business Strike Coalition & social media posts. ",,,,,,,
INTERACTIVE MAP HERE,,,,,,,
Business,Category,Website,Driving,Address,County,Lat,Lon
1 Salon,Hair & Nails / Salon,https://1-salon.com/,https://maps.app.goo.gl/Eth8fWNstkd7VoaJA,"1005 E 3900 S, Salt Lake City, UT 84124",Salt Lake County,40.734958,-111.859362
1974 Bookstore,Bookstore,https://bookshop.org/shop/1974bookstoreslc,https://maps.app.goo.gl/56d8gG7z5a2q7YDp7,"351 W 400 S Unit B, Salt Lake City, UT 84101",Salt Lake County,40.7603,-111.90143
45 World Records,Shopping & Retail,https://www.instagram.com/45worldrecords/,https://maps.app.goo.gl/5VGntFgXrrAf4qxU6,"1120 Richards St, Salt Lake City, UT 84101",Salt Lake County,40.744603,-111.892828
Abyss Body Piercing,Body Art,https://www.abysspiercing.com/,https://maps.app.goo.gl/EEe5L1cdU5BtMWw5A,"245 E 300 S, Salt Lake City, UT 84111",Salt Lake County,40.763045,-111.883829
Aces High Saloon,Food / Beverages,https://aceshighsaloon.com/,https://maps.app.goo.gl/a9qp9hk196HwFZ83A,"1588 US-89, Salt Lake City, UT 84115",Salt Lake County,40.735055,-111.88866
Annihilation tattoo,Body Art,https://www.instagram.com/annihilation.tattoo/,https://maps.app.goo.gl/HT9yLR4h6tKrTN8p6,"1597 S 1100 E, Salt Lake City, UT 84105",Salt Lake County,40.734958,-111.859362
Another Round Salt Lake City - Disc Golf Shop,Shopping & Retail,https://www.anotherroundsaltlake.com/,https://maps.app.goo.gl/vJXWRLFXdVqZMFoi6,"6092 S 900 E, Murray, UT 84121",Salt Lake County,40.734958,-111.859362
Art Cafe SLC,Art,https://artcafeslc.com/,https://maps.app.goo.gl/4CRqfxgay3qEk5QA9,"870 E 900 S, Salt Lake City, UT 84105",Salt Lake County,,
Azúcar Cafe,Food / Beverages,https://www.azucarcafeutah.com/,https://maps.app.goo.gl/SLbCgbR9AH1sXWNg9,"2843 S 5600 W #120, West Valley City, UT 84120",Salt Lake County,,
Baby's Bagels,Food / Beverages,https://www.babysbagels.com/,https://maps.app.goo.gl/J1GNmASKRx68Rt2t5,"204 E 500 S, Salt Lake City, UT 84111",Salt Lake County,,
